Tweet,Departments
The washroom smells terrible and needs immediate cleaning.,Coach - Cleanliness
There is trash scattered all over the floor in my compartment.,Coach - Cleanliness
The coach feels unhygienic; the floors are sticky and dirty.,Coach - Cleanliness
"The restroom is not clean, and there’s no soap available.",Coach - Cleanliness
"I noticed a foul odor in the washroom, making it uncomfortable to use.",Coach - Cleanliness
Seats are dirty with stains; it looks like they haven't been cleaned in a while.,Coach - Cleanliness
Please arrange cleaning staff; the coach floor is covered with litter.,Coach - Cleanliness
"The windows are smudged and unclean, reducing visibility.",Coach - Cleanliness
The washbasin is clogged and filled with dirty water.,Coach - Cleanliness
"The trash bins are overflowing, and nobody has emptied them.",Coach - Cleanliness
The carpets are filthy and have not been vacuumed for days.,Coach - Cleanliness
There is a bad smell coming from the restroom area.,Coach - Cleanliness
"The toilet paper is finished, and the restroom is unkempt.",Coach - Cleanliness
There are stains on the walls that need to be cleaned up.,Coach - Cleanliness
"The coach has not been cleaned, and it is unacceptable.",Coach - Cleanliness
The floors are sticky from spilled food; please clean them up.,Coach - Cleanliness
The seat cushions are stained and unpleasant to sit on.,Coach - Cleanliness
The restroom floor is wet and poses a slip hazard.,Coach - Cleanliness
The trash bags are not tied properly and are spilling out.,Coach - Cleanliness
The hand sanitizer dispenser is empty and hasn't been refilled.,Coach - Cleanliness
Please clean the tables; they are dirty and sticky.,Coach - Cleanliness
The bathrooms are in a deplorable state and need urgent attention.,Coach - Cleanliness
The air vents are dusty and need to be cleaned.,Coach - Cleanliness
The cleaning crew needs to check for spills in the coach.,Coach - Cleanliness
There are food remnants on the floor from previous passengers.,Coach - Cleanliness
"The washroom has not been sanitized, and it's quite dirty.",Coach - Cleanliness
"Someone spilled something on the seat, and it needs immediate cleaning.",Coach - Cleanliness
"There is hair on the floor in the restroom, which is quite unsightly.",Coach - Cleanliness
The lavatory is out of order and smells bad; it should be cleaned.,Coach - Cleanliness
The toilet is clogged and hasn't been cleaned properly.,Coach - Cleanliness
"The coach smells musty, indicating poor cleaning practices.",Coach - Cleanliness
"The windows haven't been cleaned in ages, making them hard to see through.",Coach - Cleanliness
The trash cans are dirty and haven't been cleaned.,Coach - Cleanliness
There is a strong odor coming from the trash bins.,Coach - Cleanliness
"The soap dispenser is broken, and the washroom is unsanitary.",Coach - Cleanliness
"The seatbacks are dirty, and I don’t want to touch them.",Coach - Cleanliness
The cleaning crew should check the corners; they are dusty.,Coach - Cleanliness
The floor is littered with food wrappers and trash.,Coach - Cleanliness
There are visible stains on the ceiling that need attention.,Coach - Cleanliness
The restroom is filthy and requires immediate sanitation.,Coach - Cleanliness
The garbage from the last trip is still sitting here.,Coach - Cleanliness
"I found a used tissue on my seat, which is disgusting.",Coach - Cleanliness
The coach has a persistent bad smell; please clean it thoroughly.,Coach - Cleanliness
The cleaning staff needs to pay attention to detail; it's very dirty.,Coach - Cleanliness
The mirrors in the restroom are streaked and need cleaning.,Coach - Cleanliness
The floors in the coach have not been mopped; it's unacceptable.,Coach - Cleanliness
There are old food wrappers stuck in the seat cushions.,Coach - Cleanliness
"The washroom has not been cleaned, and it's quite disgusting.",Coach - Cleanliness
The hand dryer is filthy and seems never to have been cleaned.,Coach - Cleanliness
The areas around the toilets are unkempt and unsightly.,Coach - Cleanliness
There is a lack of cleaning supplies in the washroom.,Coach - Cleanliness
"The tables are sticky, and the coach hasn't been properly cleaned.",Coach - Cleanliness
The cleaning crew needs to address the bathroom cleanliness issues.,Coach - Cleanliness
There are cobwebs in the corners of the restroom.,Coach - Cleanliness
The floors are in dire need of a good scrub.,Coach - Cleanliness
The trash is overflowing and smells bad.,Coach - Cleanliness
"The soap and paper towels are out in the restroom, which is concerning.",Coach - Cleanliness
The train compartments are looking neglected and dirty.,Coach - Cleanliness
There are crumbs and dirt on the seats that need to be vacuumed.,Coach - Cleanliness
The washroom needs a deep cleaning; it's not sanitary.,Coach - Cleanliness
The handrails are dirty and have not been cleaned recently.,Coach - Cleanliness
The trash can in the restroom is full and not emptied.,Coach - Cleanliness
"The floors are dusty, and it looks like no one has cleaned for days.",Coach - Cleanliness
There are stains on the armrests that are quite noticeable.,Coach - Cleanliness
"The sink is dirty, and there are water spots everywhere.",Coach - Cleanliness
"The restroom smells bad, and I do not feel comfortable using it.",Coach - Cleanliness
The cabin cleaning needs to be prioritized; it’s too dirty.,Coach - Cleanliness
"The toilet is not flushing properly, and it’s unhygienic.",Coach - Cleanliness
There’s a lot of dust accumulating on the window sills.,Coach - Cleanliness
The overall cleanliness of the coach is unsatisfactory.,Coach - Cleanliness
The washroom has a persistent odor; it should be cleaned.,Coach - Cleanliness
There are food spills on the floor that need immediate attention.,Coach - Cleanliness
The cleaning staff should do a better job of sanitizing the seats.,Coach - Cleanliness
There are dirty marks on the walls that need wiping down.,Coach - Cleanliness
The compartment hasn't seen a cleaning crew in too long.,Coach - Cleanliness
"The trash is overflowing, and it’s a health hazard.",Coach - Cleanliness
The restroom needs a thorough cleaning; it's quite dirty.,Coach - Cleanliness
The seatbacks have crumbs stuck to them.,Coach - Cleanliness
The air freshener in the washroom is empty; it smells bad.,Coach - Cleanliness
The floors in the restroom are unclean and slippery.,Coach - Cleanliness
The food waste bin is full and attracts insects.,Coach - Cleanliness
The cleaning supplies should be stocked better for hygiene.,Coach - Cleanliness
The coach's cleaning schedule seems to be neglected.,Coach - Cleanliness
The sinks are dirty and have not been washed in a while.,Coach - Cleanliness
There are wrappers and trash all over the seating area.,Coach - Cleanliness
The restroom mirrors are dirty and not reflective.,Coach - Cleanliness
The cleaning crew should focus on the corners; they are dusty.,Coach - Cleanliness
The area around the trash cans is filthy and unappealing.,Coach - Cleanliness
The cleanliness of the train is below acceptable standards.,Coach - Cleanliness
"There’s no toilet paper in the restroom, which is unacceptable.",Coach - Cleanliness
The coach needs a thorough cleaning; it's too dirty.,Coach - Cleanliness
The soap in the restroom is not being refilled regularly.,Coach - Cleanliness
The seats are stained and need a deep clean.,Coach - Cleanliness
"The toilets are not being cleaned regularly, which is concerning.",Coach - Cleanliness
The cleaning staff should be more diligent about maintaining cleanliness.,Coach - Cleanliness
"The floors are dirty, and it’s embarrassing to use the restroom.",Coach - Cleanliness
The area around the toilets is often neglected.,Coach - Cleanliness
The cleaning crew is doing a poor job of maintaining hygiene.,Coach - Cleanliness
The restroom cleaning needs to be prioritized over other tasks.,Coach - Cleanliness
The seats have not been cleaned; there’s dust everywhere.,Coach - Cleanliness
"The restroom smells horrible, and it requires immediate attention.",Coach - Cleanliness
The trash cans are full and not being emptied regularly.,Coach - Cleanliness
There are too many stains on the walls that need to be addressed.,Coach - Cleanliness
"The washroom is dirty, and it's uncomfortable to use.",Coach - Cleanliness
The cleanliness of the food serving area is appalling.,Coach - Cleanliness
There are still food items left in the seats from previous passengers.,Coach - Cleanliness
The cleaning schedule is not being adhered to; it’s evident.,Coach - Cleanliness
The restroom needs a thorough scrubbing; it’s quite dirty.,Coach - Cleanliness
The seats in the coach are stained and unpleasant.,Coach - Cleanliness
"The trash is accumulating, and it needs to be taken out.",Coach - Cleanliness
The handrails are filthy and should be cleaned.,Coach - Cleanliness
The floors are slippery and dangerous due to spills ,Coach - Cleanliness
The washroom smells terrible and needs immediate cleaning.,Coach - Cleanliness
There is trash scattered all over the floor in my compartment.,Coach - Cleanliness
The coach feels unhygienic; the floors are sticky and dirty.,Coach - Cleanliness
"The restroom is not clean, and there’s no soap available.",Coach - Cleanliness
"I noticed a foul odor in the washroom, making it uncomfortable to use.",Coach - Cleanliness
Seats are dirty with stains; it looks like they haven't been cleaned in a while.,Coach - Cleanliness
Please arrange cleaning staff; the coach floor is covered with litter.,Coach - Cleanliness
"The windows are smudged and unclean, reducing visibility.",Coach - Cleanliness
The washbasin is clogged and filled with dirty water.,Coach - Cleanliness
"The trash bins are overflowing, and nobody has emptied them.",Coach - Cleanliness
The carpets are filthy and have not been vacuumed for days.,Coach - Cleanliness
There is a bad smell coming from the restroom area.,Coach - Cleanliness
"The toilet paper is finished, and the restroom is unkempt.",Coach - Cleanliness
There are stains on the walls that need to be cleaned up.,Coach - Cleanliness
"The coach has not been cleaned, and it is unacceptable.",Coach - Cleanliness
The floors are sticky from spilled food; please clean them up.,Coach - Cleanliness
The seat cushions are stained and unpleasant to sit on.,Coach - Cleanliness
The restroom floor is wet and poses a slip hazard.,Coach - Cleanliness
The trash bags are not tied properly and are spilling out.,Coach - Cleanliness
The hand sanitizer dispenser is empty and hasn't been refilled.,Coach - Cleanliness
Please clean the tables; they are dirty and sticky.,Coach - Cleanliness
The bathrooms are in a deplorable state and need urgent attention.,Coach - Cleanliness
The air vents are dusty and need to be cleaned.,Coach - Cleanliness
The cleaning crew needs to check for spills in the coach.,Coach - Cleanliness
There are food remnants on the floor from previous passengers.,Coach - Cleanliness
"The washroom has not been sanitized, and it's quite dirty.",Coach - Cleanliness
"Someone spilled something on the seat, and it needs immediate cleaning.",Coach - Cleanliness
"There is hair on the floor in the restroom, which is quite unsightly.",Coach - Cleanliness
The lavatory is out of order and smells bad; it should be cleaned.,Coach - Cleanliness
The toilet is clogged and hasn't been cleaned properly.,Coach - Cleanliness
"The coach smells musty, indicating poor cleaning practices.",Coach - Cleanliness
"The windows haven't been cleaned in ages, making them hard to see through.",Coach - Cleanliness
The trash cans are dirty and haven't been cleaned.,Coach - Cleanliness
There is a strong odor coming from the trash bins.,Coach - Cleanliness
"The soap dispenser is broken, and the washroom is unsanitary.",Coach - Cleanliness
"The seatbacks are dirty, and I don’t want to touch them.",Coach - Cleanliness
The cleaning crew should check the corners; they are dusty.,Coach - Cleanliness
The floor is littered with food wrappers and trash.,Coach - Cleanliness
There are visible stains on the ceiling that need attention.,Coach - Cleanliness
The restroom is filthy and requires immediate sanitation.,Coach - Cleanliness
The garbage from the last trip is still sitting here.,Coach - Cleanliness
"I found a used tissue on my seat, which is disgusting.",Coach - Cleanliness
The coach has a persistent bad smell; please clean it thoroughly.,Coach - Cleanliness
The cleaning staff needs to pay attention to detail; it's very dirty.,Coach - Cleanliness
The mirrors in the restroom are streaked and need cleaning.,Coach - Cleanliness
The floors in the coach have not been mopped; it's unacceptable.,Coach - Cleanliness
There are old food wrappers stuck in the seat cushions.,Coach - Cleanliness
"The washroom has not been cleaned, and it's quite disgusting.",Coach - Cleanliness
The hand dryer is filthy and seems never to have been cleaned.,Coach - Cleanliness
The areas around the toilets are unkempt and unsightly.,Coach - Cleanliness
There is a lack of cleaning supplies in the washroom.,Coach - Cleanliness
"The tables are sticky, and the coach hasn't been properly cleaned.",Coach - Cleanliness
The cleaning crew needs to address the bathroom cleanliness issues.,Coach - Cleanliness
There are cobwebs in the corners of the restroom.,Coach - Cleanliness
The floors are in dire need of a good scrub.,Coach - Cleanliness
The trash is overflowing and smells bad.,Coach - Cleanliness
"The soap and paper towels are out in the restroom, which is concerning.",Coach - Cleanliness
The train compartments are looking neglected and dirty.,Coach - Cleanliness
There are crumbs and dirt on the seats that need to be vacuumed.,Coach - Cleanliness
The washroom needs a deep cleaning; it's not sanitary.,Coach - Cleanliness
The handrails are dirty and have not been cleaned recently.,Coach - Cleanliness
The trash can in the restroom is full and not emptied.,Coach - Cleanliness
"The floors are dusty, and it looks like no one has cleaned for days.",Coach - Cleanliness
There are stains on the armrests that are quite noticeable.,Coach - Cleanliness
"The sink is dirty, and there are water spots everywhere.",Coach - Cleanliness
"The restroom smells bad, and I do not feel comfortable using it.",Coach - Cleanliness
The cabin cleaning needs to be prioritized; it’s too dirty.,Coach - Cleanliness
"The toilet is not flushing properly, and it’s unhygienic.",Coach - Cleanliness
There’s a lot of dust accumulating on the window sills.,Coach - Cleanliness
The overall cleanliness of the coach is unsatisfactory.,Coach - Cleanliness
The washroom has a persistent odor; it should be cleaned.,Coach - Cleanliness
There are food spills on the floor that need immediate attention.,Coach - Cleanliness
The cleaning staff should do a better job of sanitizing the seats.,Coach - Cleanliness
There are dirty marks on the walls that need wiping down.,Coach - Cleanliness
The compartment hasn't seen a cleaning crew in too long.,Coach - Cleanliness
"The trash is overflowing, and it’s a health hazard.",Coach - Cleanliness
The restroom needs a thorough cleaning; it's quite dirty.,Coach - Cleanliness
